summoner_id,champion_id,mastery_points
Uv5x2Np3lz3udTzebw9mVvuGH9jeLKzuMZGfy9AfmGFmfA,19,204814
-zh5P6dwlDZ2LmE4NAktdhbk-RDV9o22RCb7E7NxYGY8dw,222,75748
lErfZ7xkpr2-bvXdOODIoaPZCcAdnQjIhE4rPcQ2IglUdy4,498,29441
VRl-IsvXRZTnr7WpikHLoSKCI-7hQwXkNks2OUNFoDKDfpc,53,188
GO6yJq5w9-ADzgdywAwOobzYEiBp9qwdUknr5tqqYG3TrL3QO8uwK_hS,30,322
g_RbdCy_yZPKNtevi7MH6At--1VLlntOAG4KHCuG-2atXLA,68,37260
py2I2jDuNuYEVePtH2s7BElBJMAXQPOmCJgzKWmpnGfvJbEaLrdSlExo,245,32864
W3wIHszL_39n5viBO336mdkir5ssierN72udUK1brDbuKw,14,75169
Y1JZn6bIRSzRhHFHKigu9C-dKfCfLiajq5PpEkorbwtdVDTPmCzTY_Z2,30,130
dfNhsA7W_q2_lUMGEGExyvW5qgLL209lgAonHrNUomuEmA,141,625
lCktKHHEW_-nqoseTohpYXeTa9xZJHN84fJ1wXUiw1scbwE,22,93862
AevtSW3fhEAxZ_sAlJujTDRud0BNbIcuYOztj9KeJx1Rw91Myu2IXGTh,236,28604
jWLam5Tq8bhDLXMHXZdHm0U6NuLQWs-UYEOqTTb6DxnMfw,497,29132
4ptB8rt8uE73hsmt8EO8XJPLw8LgZYsXTja0TneBwE7SFKM,236,35719
-_SO42haciTXXsIGMbzFQdNiziqsgbSrvDHV7f675DOvyrk,145,12130
EymiYu83LwoG5rKehRGj0q1TZ59q8d-DHljbTwMmhEgR-9UQlBjk2EfT,8,2007
3L9DPasBU5Mc5q_VLRP4DtQCvOunsAn4rNiwfWHw2Z2jl2Y,101,16875
5DDWiFhzlk0168PCL66FCxBgGAnOTDrSUa5LzusJ6_l_5Q,53,729950
p4d0kXWhiDWn83m2SKbSDmdygIZbsKWkzN45IxPSHolVKX4,157,2847310
0uh8zP1sb6qsbJThGQAjnf-2JFuzk_kxEwnKwG5mSv5fELU,37,57874
dxkDyZwkSTqnie3DbdeBe-ULP-9juXUDSJc8x5CAm7BmMQ,58,41335
HK2VUqx2bpSqnZC8H-9YaZ1vBfbqZYaTVU3R5a5UtKU7Q1Q,18,190372
