top_vs,top_mastery,side,first_brick,first_blood,first_dragon,first_herald,first_baron,first_inhib,num_towers,num_dragons,num_barons,num_inhibs,result,jungle_vs,jungle_mastery,mid_vs,mid_mastery,adc_vs,adc_mastery,sup_vs,sup_mastery
34,29806.0,blue ,False,True,True,False,False,False,3,4,0,0,False,36,1135980.0,35,8195.0,33,61963.0,65,199234.0
8,23985.0,blue ,False,False,True,False,False,False,0,1,0,0,False,12,1482.0,16,22029.0,13,18646.0,39,18977.0
21,7987.0,blue ,False,True,True,False,True,True,10,4,1,2,True,24,7437.0,16,780435.0,20,21581.0,42,1007.0
21,340720.0,red  ,False,False,False,False,True,True,10,2,1,1,True,30,124829.0,24,110686.0,28,92667.0,61,500759.0
10,85340.0,red  ,False,False,True,False,False,False,1,3,0,0,False,20,40869.0,29,125776.0,15,80830.0,48,147525.0
27,1441022.0,blue ,True,True,True,True,True,False,8,2,2,0,True,31,20616.0,25,49326.0,25,9536.0,48,33012.0
9,1441022.0,blue ,False,False,False,False,False,False,1,1,0,0,False,16,1692022.0,11,8116730.0,31,522819.0,43,397570.0
15,50024.0,red  ,False,False,False,False,False,False,1,0,0,0,False,11,8200.0,9,141139.0,9,156095.0,28,120575.0
32,2490.0,blue ,True,True,False,False,False,False,2,2,1,0,False,25,49168.0,16,31593.0,13,219331.0,51,3334909.0
29,65034.0,blue ,True,True,False,True,False,False,3,0,0,0,False,26,156980.0,11,766490.0,20,341243.0,62,528188.0
32,17236.0,red  ,False,True,True,True,False,True,10,2,1,1,True,55,10201.0,23,226774.0,35,6796.0,87,92965.0
10,19534.0,blue ,True,True,True,False,True,True,10,2,1,2,True,26,294323.0,20,425586.0,28,45073.0,43,8398.0
12,931039.0,blue ,True,False,False,False,False,False,2,0,0,0,False,20,32943.0,5,33341.0,18,141204.0,23,939.0
14,15118.0,red  ,False,True,True,False,False,False,2,2,0,0,False,24,27022.0,26,11715.0,21,10593.0,52,1171.0
14,72885.0,red  ,False,True,True,False,False,False,2,1,0,0,False,24,126746.0,16,28338.0,13,105111.0,23,57623.0
14,11163.0,blue ,False,False,False,False,False,False,2,0,0,0,False,17,266475.0,16,15379.0,11,62583.0,48,385091.0
19,232736.0,red  ,False,False,False,True,False,False,2,0,0,0,False,19,53214.0,19,31156.0,9,118025.0,36,2462.0
18,6930.0,blue ,False,False,True,False,False,False,0,1,0,0,False,16,277856.0,5,1390510.0,12,550586.0,34,1832769.0
12,679210.0,red  ,False,False,True,False,False,False,1,1,0,0,False,25,91502.0,7,38933.0,11,207156.0,29,2102.0
33,55955.0,blue ,True,False,True,True,True,True,10,6,1,3,True,56,532146.0,29,671703.0,25,392974.0,100,45086.0
19,89285.0,red  ,True,False,True,True,True,True,8,3,1,2,True,28,100886.0,25,951373.0,26,4922.0,67,150616.0
13,273076.0,red  ,True,True,False,True,False,False,3,0,0,0,False,33,41254.0,22,4699.0,24,4988.0,54,188939.0
15,2201.0,red  ,True,True,True,True,False,False,7,2,0,0,False,26,115384.0,23,5246.0,21,1618985.0,66,646395.0
19,27284.0,red  ,False,True,False,False,False,False,1,0,0,0,False,12,7822.0,21,29898.0,11,324500.0,29,1519873.0
18,27284.0,red  ,False,True,True,False,True,True,7,4,1,2,True,28,103733.0,25,181343.0,34,324500.0,60,52821.0
49,14270.0,blue ,False,True,True,True,True,False,8,3,1,2,False,29,137302.0,40,137976.0,22,157416.0,94,11302.0
7,703471.0,blue ,True,True,True,True,False,True,9,2,0,1,True,22,90184.0,21,64775.0,23,94817.0,30,2507091.0
17,98704.0,blue ,True,True,False,False,False,False,3,0,0,0,False,15,23070.0,9,671703.0,17,94817.0,42,116474.0
10,13298.0,red  ,False,False,False,False,False,False,0,0,0,0,False,19,13427.0,11,33361.0,17,13381.0,33,57756.0
56,1147456.0,red  ,False,True,False,True,True,True,9,4,2,4,False,66,8280.0,32,308127.0,37,72837.0,82,2981.0
